DATE,Col2,Col3
Sun Jun 01 2014,company_update_clicks,0
Sun Jun 01 2014,company_update_unique_impressions,0
Sun Jun 01 2014,distinct_pageview_overview_count,0
Sun Jun 01 2014,company_update_impressions,0
Sun Jun 01 2014,company_update_comments,0
Sun Jun 01 2014,company_update_engagement,0
Sun Jun 01 2014,company_update_likes,0
Sun Jun 01 2014,company_update_shares,0
Sun Jun 01 2014,pageview_overview_count,0
Mon Jun 02 2014,company_update_clicks,0
Mon Jun 02 2014,company_update_unique_impressions,0
Mon Jun 02 2014,distinct_pageview_overview_count,0
Mon Jun 02 2014,company_update_impressions,0
Mon Jun 02 2014,company_update_comments,0
Mon Jun 02 2014,company_update_engagement,0
Mon Jun 02 2014,company_update_likes,0
Mon Jun 02 2014,company_update_shares,0
Mon Jun 02 2014,pageview_overview_count,0
Tue Jun 03 2014,company_update_clicks,0
Tue Jun 03 2014,company_update_unique_impressions,0
Tue Jun 03 2014,distinct_pageview_overview_count,0
Tue Jun 03 2014,company_update_impressions,0
Tue Jun 03 2014,company_update_comments,0
Tue Jun 03 2014,company_update_engagement,0
Tue Jun 03 2014,company_update_likes,0
Tue Jun 03 2014,company_update_shares,0
Tue Jun 03 2014,pageview_overview_count,0
Wed Jun 04 2014,company_update_clicks,0
Wed Jun 04 2014,company_update_unique_impressions,0
Wed Jun 04 2014,distinct_pageview_overview_count,0
Wed Jun 04 2014,company_update_impressions,0
Wed Jun 04 2014,company_update_comments,0
Wed Jun 04 2014,company_update_engagement,0
Wed Jun 04 2014,company_update_likes,0
Wed Jun 04 2014,company_update_shares,0
Wed Jun 04 2014,pageview_overview_count,0
Thu Jun 05 2014,company_update_clicks,0
Thu Jun 05 2014,company_update_unique_impressions,0
Thu Jun 05 2014,distinct_pageview_overview_count,0
Thu Jun 05 2014,company_update_impressions,0
Thu Jun 05 2014,company_update_comments,0
Thu Jun 05 2014,company_update_engagement,0
Thu Jun 05 2014,company_update_likes,0
Thu Jun 05 2014,company_update_shares,0
Thu Jun 05 2014,pageview_overview_count,0
Fri Jun 06 2014,company_update_clicks,0
Fri Jun 06 2014,company_update_unique_impressions,0
Fri Jun 06 2014,distinct_pageview_overview_count,0
Fri Jun 06 2014,company_update_impressions,0
Fri Jun 06 2014,company_update_comments,0
Fri Jun 06 2014,company_update_engagement,0
Fri Jun 06 2014,company_update_likes,0
Fri Jun 06 2014,company_update_shares,0
Fri Jun 06 2014,pageview_overview_count,0
Sat Jun 07 2014,company_update_clicks,0
Sat Jun 07 2014,company_update_unique_impressions,0
Sat Jun 07 2014,distinct_pageview_overview_count,0
Sat Jun 07 2014,company_update_impressions,0
Sat Jun 07 2014,company_update_comments,0
Sat Jun 07 2014,company_update_engagement,0
Sat Jun 07 2014,company_update_likes,0
Sat Jun 07 2014,company_update_shares,0
Sat Jun 07 2014,pageview_overview_count,0
Sun Jun 08 2014,company_update_clicks,0
Sun Jun 08 2014,company_update_unique_impressions,0
Sun Jun 08 2014,distinct_pageview_overview_count,0
Sun Jun 08 2014,company_update_impressions,0
Sun Jun 08 2014,company_update_comments,0
Sun Jun 08 2014,company_update_engagement,0
Sun Jun 08 2014,company_update_likes,0
Sun Jun 08 2014,company_update_shares,0
Sun Jun 08 2014,pageview_overview_count,0
Mon Jun 09 2014,company_update_clicks,0
Mon Jun 09 2014,company_update_unique_impressions,0
Mon Jun 09 2014,distinct_pageview_overview_count,0
Mon Jun 09 2014,company_update_impressions,0
